case_number,name,evaluation_seed,prompt
14,kareem_abdul-Jabbar,56465,"kareem_abdul-Jabbar, detailed eyes and skin, arafed basketball player in a purple jersey and glasses standing on a court, from 1977, 💋 💄 👠 👗, brook, lv, beard, thick rimmed-glasses, 3 1, lemonade, stems, insanely mystical, photograph credit: ap, lean, 4 eyes, shutterstock, giant threes"
15,oprah_winfre,34563,"oprah_winfre, etailed eyes and skin, araffe woman in yellow dress holding a microphone and speaking, oprah okra winfrey sentient veg, medium head to shoulder shot, unedited, square, wearing long silver robes, curls and curves, wikipedia, headshot profile picture, large screen, confident looking, forward facing, closeup - view, tyler, star, sitting down, proud looking, face-on"
16,will_smith,45009,"will_smith, detailed eyes and skin, araful man with a beard and a white shirt smiling, will smith, light stubble with red shirt, avatar image, tapered hairline, he has dark grey hairs, #green, black main color, actor, artificial, composer, pitt, we"
17,jordan_spieth,58486,"jordan_spieth, detailed eyes and skin, arafed man in white shirt holding a golf club and a ball, edward norton, justin sun, focused shot, afp, [[fantasy]], kyle mclaughlin, disappointed, square, brock hofer, iu, he is floundering, upon a peak in darien, profile pic, brian griffin, dust around, marine, lv, spotted, performance, sunday"
18,toni_kroos,4704,"toni_kroos, detailed eyes and skin, arafed soccer player sitting on the ground with his foot on the ground, james mccarthy, bad bunny, madrid, covid, disappointed, mercedes, stained”, clasps his bangs in one hand, devastated, slavic, late evening, afp, dezeen, (fantasy), pitt, hurting, 3 4 5 3 1, heartbreak, blinding sun"
19,kawhi_leonard,16351,"kawhi_leonard, detailed eyes and skin, arafed man with a tattoo on his arm and a basketball jersey, long black braids, raptors, cranbow jenkins, sharply focused, upturned nose, uhq, james clyne, 3 2 - year - old man, sport, carpenter, rafael, february), prettt, focusing"
20,larry_page,15348,"larry_page, detailed eyes and skin, arafed man in a suit speaking into a microphone in front of a google logo, he has dark grey hairs, color picture, concentrated look, climbing, in rows, googles, wooden, hexagonal shaped, starry, looking towards the camera, wash, high - tech, beto val, cook, kek, she, 4l, wide shoot"
21,michael_jordan,11952,"michael_jordan, detailed eyes and skin, a close up of a basketball player dribbling a basketball ball, michael jordan, headshot profile picture, red and black suit, wearing a vest top, 240p, profile pic, avatar image, profile photo, wearing a track suit, very sad c 12.0, bull, over-the-shoulder shot, profile image, real life size"
22,jerome_boateng,26690,"jerome_boateng, detailed eyes and skin, a close up of a soccer player with a grey hair, 😭🤮 💔, munich, james clyne, photograph credit: ap, thiago alcantara, performing, facebook, stained”"
23,rob_walton,6852,"rob_walton, detailed eyes and skin, arafed man in a suit and tie giving a speech, ted nasmuth, inspired by James Gillick, blue rim lighting, cedar, high quality product, man walking, less detailing, gleaming silver, mork borg, headshot photo, finger, healthcare, john waters, 🦑 design, cut-away, extremely clean, schools, lit from the side"
24,lady_gaga,29914,"lady_gaga, detailed eyes and skin, lady with blonde hair and a black dress with a gold brooch, lady gaga president of argentina, 8k 50mm iso 10, white gloves, with a ponytail, hurufiyya, slightly sunny, elaborate details, christina kritkou, bridges, abcdefghijklmnopqrstuvwxyz, pegasus, inauguration, the crown is very high"
25,paulo_dybala,3726,"paulo_dybala, detailed eyes and skin, arafed soccer player in a blue and white uniform on a field, argentina flags behind, pete davidson, upper body close - up, photo taken in 2018, stjepan sejic, facing right, pontifex, round-cropped, she is 2 3"
26,pablo_picasso,4475,"pablo_picasso, detailed eyes and skin, a black and white photo of a man sitting in front of a wall, pablo picasso painting, confident smirk, the clangers, wikipedia, oscar de la renta, ray harryhausen, 1 / 2 headshot, photo pinterest, marker”, joseph todorovitch ”, a wooden, greece, cubist, norman foster, a dream, portrait no. 1"
27,tyson_fury,13049,"tyson_fury, detailed eyes and skin, arafed boxer with a green boxing glove in a boxing ring, he got a big french musctache, but what do you mean, fury, abcdefghijklmnopqrstuvwxyz, bald lines, former, official, waving, hziulquoigmnzhah, —n 9, christian saint, gallows, lou"
28,steven_spielberg,38501,"steven_spielberg, detailed eyes and skin, arafed man in a suit and tie smiling at the camera, steven spielberg, postprocessed), portrait of tall, no watermark, 2 0 2 2 photo, front profile, dolman, serious look, full body close-up shot, close up to the screen, emotional face shot, close up to a skinny, 2 0 1 7, actor"
29,narendra_modi,31054,"narendra modi, etailed eyes and skin,arafed man with a white beard and glasses holding a cell phone,  portait photo profile picture, transparent background, 2077, headshot profile picture, pontifex, big size, ghailan!, 2045, bow, 4 0 years old man, a new, furr, parliament, during the night, while smiling for a photograph"
30,ravichandran_ashwin,44820,"ravichandran_ashwin, detailed eyes and skin, a close up of a man holding a tennis racquet in front of a wall, ganesh, wearing a white gi, a confident smile, in 2 0 1 2, crowd hails him, stars, dominant wihte and blue colours, actress, photograph credit: ap, a cat, tenet, handsome man, sittin, thumbnail, ceo, gapmoe, on"
31,maria_sharapova,40175,"maria_sharapova, detailed eyes and skin, blond woman in white shirt and skirt playing tennis on a green court, hair in slick low ponytail, in style of alasdair mclellan, closeup shot of face, square, in white turtleneck shirt, sports illustrated, acne, tv show still, slick design, she has two ponytails, kate upton, ji-min, mid tone, indoor shot"
32,ayatollah_ali_khamenei,56448,"ayatollah_ali_khamenei, detailed eyes and skin, arafed man with a white beard and a black turban, khamenei, slicked black hair, gettyimages, with his long black hair, very sharp photo, vibrant light, 💣 💥, beautiful female, intelligent man, in square-rimmed glasses, f32, twas brillig, serious"
33,jennifer_aniston,2620,"jennifer_aniston, detailed eyes and skin, anistoy image of anistoy woman smiling and wearing a silver dress, aniston, in 2 0 1 2, golden straight hair, actor, jk, loosely cropped, 3 colour, they are close to each other, best artist, selenar, beautifull, on, celebrity, burberry, hi resolution, carroty hair, shady look, facing left"
34,franklin_delano_roosevelt,33749,"franklin_delano_roosevelt, detailed eyes and skin, arafed man in a suit and tie sitting in a chair, zoomed out portrait of a duke, white house archives, detailed color scan”, world war 2 portrait photo, pictured from the shoulders up, coal, proud looking away, inspired by Charles Harold Davis, don draper, promotional portrait, p. j. n, the photo shows a large, beam"
35,kate_middleton,41565,"kate_middleton, detailed eyes and skin, a close up of a woman with long hair and earrings smiling, royal elegant pose, 🦩🪐🐞👩🏻🦳, charles, sleek white, 3 6 years old, 😭 🤮 💕 🎀, official, usa-sep 20, england, smoky, square, shoulder - length, eco, very clean, a delicate, but not quite"
36,michel_platini,26023,"michel_platini, detailed eyes and skin, araffe holding a golden soccer ball in front of a crowd, italo calvino, stripes, awards winning, profile picture, square, uhq, tony montana, 240p, star, 1 9 8 0, 8k hq, wallpaper - 1 0 2 4, trending dribble, dany devito, wooden, sombrero, stubbles"
37,khabib_nurmagomedov,6482,"khabib_nurmagomedov, detailed eyes and skin, a close up of a man in a suit holding a microphone, khabib, profile picture, cgrender, looking the camera, vine, best scene, caps sideways, looking around a corner, looking to camera, looking away from the camera, inspired by Paul Davis, concentrated look, head - and - shoulders shot, head-and-shoulders shot, profile shot"
38,andy_murray,52199,"andy_murray, detailed eyes and skin, there is a male tennis player standing on a court with a racket, craig mullens, very excited, mork borg, wikimedia, by Robert Childress, unwind!, mundy, file photo, excitement, short face, chris haas and bernini, craigville, tx, hanging, elites, five score years ago, peter lundqvist, oct, maui"
39,anthony_joshua,9456,"anthony_joshua, detailed eyes and skin, there is a man sitting on a bench looking at the camera, mkbhd as iron man, miami beach, view from the side”, interview, muhammad ali, he is about 20 years old | short, 7 7 7 7, hotel, uk, tiger, 4 k film still, aaron rodgers, -640, compressed jpeg, oscar, uploaded"
40,martin_luther_king_jr,12440,"martin_luther_king_jr., detailed eyes and skin, arafed black and white photo of a man in a suit and tie, martin luther king, head and shoulder portrait, a brightly colored, he is wearing a suit, promotional portrait, calm face, with narrow nose, slightly smiling, santa, restored color, 3 / 4 view portrait, full device, earthy, masterpeice, avatar image, 1 male"
41,suresh_raina,25733,"suresh_raina, detailed eyes and skin, arafed man in yellow shirt standing in a locker with a smile, yellow gemstones spikes, indian super model, professional profile picture, official fan art, taken in 2022, bowl, android format, he is! about 3 0 years old, catalog photo, fan favorite, ray william johnson, portait photo profile picture"
42,carmelo_anthony,29162,"carmelo_anthony, detailed eyes and skin, arafed man in a yellow jersey and blue headband running on a court, wearing nba jersey, purples, photograph of a sleeve tattoo, j. h. williams iii, 🤬 🤮 💕 🎀, full image, closeup - view, seven, james lebron, riverside, athletic tall handsome guys, laces, 7 2 0 p, omega, trimmed, lacey"
43,wayne_rooney,63503,"wayne_rooney, detailed eyes and skin, arafed man in red shirt standing on soccer field with crowd in background, scowl, square, inspired by Thomas Scholes, afp, head bowed slightly, walking down, mario, slate, grain”"
44,jim_walton,30451,"jim_walton, detailed eyes and skin, arafed man in a suit and tie smiling at the camera, shiny silver, in profile, high specs, ap photo, ted nasmuth, savannah, in 2 0 1 2, thomas kinkad, associated press photo, by Neil Blevins, looking serious, uncropped, # glazersout, spire, thumbnail, president, kris kuksi"
45,pierre_emerick_aubameyang,59861,"pierre_emerick_aubameyang, detailed eyes and skin, arafed soccer player in blue shirt on field with soccer ball, heart - shaped face, james clyne, 2019 trending photo, ashteroth, square, eyes!, hziulquoigmnzhah, full device, mateus 9 5, corrected, israel, 2263539546], portrait n - 9"
46,kylie_jenner,32005,"kylie jenner, detailed eyes and skin,a woman in a white top and blazer standing in front of a window, kylie jenner, youtube video screenshot, wearing a crop top, uhq, wearing jewelry, kim kardashian, canada, humus, still image from tv series, crop top, abcdefghijklmnopqrstuvwxyz, square, pregnancy, white top, chain"
47,anne_hathaway,59095,"anne_hathaway, detailed eyes and skin, arafed woman with long brown hair and bangs smiling at the camera, anne hathaway, adut akech, ansel ], f / 4, erste boden, taken in 2022, very high resolution, beth harmon, hq ”"
48,charles_barkley,37438,"charles_barkley, detailed eyes and skin, arafed basketball player in a red jersey smiles while holding a basketball, buzz cut hair, john eaves, peak, brazilian ronaldo, wearing nba jersey, 4k serene, cerulean, pointed chin, star, bald, cover shot, goatee, profile image, 45 years old men, 8k hq, craigville, years old, stern look"
49,karim_benzema,60358,"karim_benzema, detailed eyes and skin, arafed man sitting on the ground with a trophy in front of him, 🌲🌌, madrid, captain, photo of the year 2 0 2 2, offwhite, medium closeup, body complet, cheers, ( ready - made ), 000 years ago, frontal picture, a large, 4l, (night), harry, readymade, beef"
50,usain_bolt,618,"usain_bolt, detailed eyes and skin, arafed male athlete in a yellow and black outfit holding a bat, photograph credit: ap, 1 0 0 m, lightning bolt, with a sleek spoiler, 6 pack, with gold teeth, omega, bob marley, wearing a vest top, 4k photo”"
51,donald_trump,12326,"donald_trump, detailed eyes and skin, donald trump is making a face with his mouth open, blurred detail, фото девушка курит, 300mm, phalanster, front photo, plump, <pointé pose>;open mouth, highly capsuled, highly upvoted, very clear picture, serious, front on"
52,didier_drogba,55660,"didier_drogba, detailed eyes and skin, arafed soccer player in blue jersey running with a soccer ball, aaaaaaaaaaaaaaaaaaaaaa, cgrender, babel, is a stunning, on, the, led, 200 mm, libra, cheap, sonic, kit, square, beautiful!, emma, bio-inspired, uhq, sirius, 4237549348"
53,dani_alves,43042,"dani_alves, detailed eyes and skin, two men holding trophies in front of a crowd of people, ronaldo nazario, tattooed, with a bright smile, with a bright yellow aureola, spherical, pixabay, zayn malik, square, ffffound, brazilian, profile pic, compressed jpeg, tsubasa hanekawa, icon, -n 9, masterpice, head shot"
54,harbhajan_singh,37923,"harbhajan_singh, detailed eyes and skin, arafed man in blue shirt and black hat standing in front of a blue and white wall, rahul gandhi hairstyle, inspired by Mitchell Johnson, manmohan singh blue turban, sports mascot, bald with short beard, huge bulbous pitch black eyes, 21 years old, actress, practice, sigma 1.6, pitt, hammer, very clear picture"
55,oliver_kahn,64702,"oliver_kahn, detailed eyes and skin, there is a man that is holding a soccer ball in his hand, andrée wallin, holding his hands up to his face, munich, header, pranckevicius, circa the year 2994, homelander, the best ever, ƒ/5.0, ap, gordon ramsey, getty images, glazed, powerful detail"
56,gennady_golovkin,37738,"gennady_golovkin, detailed eyes and skin, arafed boxer in blue and white trunks and red gloves, in style of kyrill kotashev, yellow lighting from right, 💣 💥💣 💥, goat, finger of god, looking across the shoulder, andrew gonzalez, celebration, tumbleweeds, 2 0 years old, sweaty. steam in air, cgscoiety, looking from shoulder, jack"
57,isco,17328,"isco, detailed eyes and skin, a close up of a man with a medal and a medal around his neck, pepe, beard, 🔞🤡, mirrored, professional foto, half length, bl, rey, 2 5 year old, skelleton, sleek white, spanish, 4 0 0 0 0 0, cut, van, charles, 2 0 7 7, f 1"
58,jeff_bezos,64837,"jeff_bezos, detailed eyes and skin, arafed bald man in a suit and tie standing in front of flags, portrait of jeff bezos, rhode island, detailed zoom photo, stars, posed, full device, from the front, a wooden, guard, crypto, smiling slightly, jesus, portrait of small"
59,rory_mcilroy,55109,"rory_mcilroy, detailed eyes and skin, arafed male golfer in a white cap and gray shirt swinging a golf club, he has short curly brown hair, inspired by Rory McEwen, photograph credit: ap, elaborate detail, square, face and shoulders focus, in 2 0 1 2, woman, taco, kimi vera, performing, information, window open, uploaded, upper body close - up, devils"
60,robert_lewandowski,38281,"robert_lewandowski, detailed eyes and skin, araffe soccer player with his arms outstretched in celebration, lewandowski, 🤬 🤮 💕 🎀, profile image, munich, shady look, 5 7 9, remove, star born, 1/4 profile, happy with his mouth open, on, captain, defined"
61,salvador_dali,31156,"salvador_dali, detailed eyes and skin, a black and white photo of a man with a mustache, by Salvador Dalí, hair are curled wired cables, long hook nose, irving penn, moss in the shape of a face, kafka, curvilinear pencil marks, robert capa, square, so come on, fleurfurr, style dan hillier, looking to the right, cheeks"
62,sadio_mané,61657,"sadio_mané, detailed eyes and skin, araffe soccer player in red kicking a soccer ball on a field, adut akech, liverpool football club, they are very serious, 2021, medium head to shoulder shot, afp, 🦩🪐🐞👩🏻🦳, port, efficient, pot, looking to his left, britain, cgrender, intricate ”"
63,boris_johnson,39488,"boris_johnson, detailed eyes and skin, arafed image of a man in a suit and tie looking at the camera, boris johnson hairstyle, wearing a royal robe, wikimedia commons, official photo, attractive photo, 4 0 0 mm, actor, portrait n - 9, sharpened, machin3, bright smiles, otorhinology, injured, where a large, the artist, low"
64,barack_obama,28000,"barack obama, detailed eyes and skin, arafed president obama in the oval room of the white house, color studio portrait, posing with crossed arms, vertical portrait, portrait no. 1, in a suit, portrait n - 9, rectangle, stacked image, camaraderie, a wooden, bracts"
65,ben_barnes,28384,"ben_barnes, detailed eyes and skin, smiling man in black jacket holding a microphone and smiling, zachary corzine, mignogna, taken in 2022, .ai, han solo, tom burke, photo pinterest, .highly realistic, with a straw, high res, zoomed in"
66,shakira,39866,"shakira, detailed eyes and skin, a close up of a woman with long red hair sitting at a table, shakira, video, curly, with a beautifull smile, rosalia, in a luminist style, proud looking, , sousaphones, tv still, youtuber, permed hair, looks like fabiula nascimento, preraphaelite style, violet hair"
67,marcelo_vieira,42534,"marcelo_vieira, detailed eyes and skin, araffe soccer player in white uniform on field with ball, curly afro, jesus alonso iglesias, 2019 trending photo, gettyimages, thumbnail, madrid, february), 123456789, recognizable, van, full shot photo"
68,hillary_clinton,33251,"hillary_clinton, detailed eyes and skin, arafed image of a woman in a black suit and an american flag, hillary clinton, very slightly smiling, avatar image, hrd, uhq, watch photo, facing front, promotional picture, ashy, 2 0 1 0 photo, round, sienna, compressed jpeg, facing camera, she is about 50 years old, center view, 2 d"
69,alexis_sanchez,2217,"alexis_sanchez, detailed eyes and skin, araffe soccer player in red uniform running with ball on field, thiago alcantara, chilean, gettyimages, thumbnail, at the world cup, 2 0 1 7, jeremy renner, square, dribbling, usa-sep 20, kim jung-gi, iceland, pepe, profile, cartier, joe alves"
70,amitabh_bachchan,52114,"amitabh_bachchan , detailed eyes and skin, a close up of a man with glasses and a white jacket, bollywood, 15081959 21121991 01012000 4k, legends, he is about 60 years old, smooth in _ the background, big boss, bill gates, santa, proud look, with a black background, grey-eyed"
71,amancio_ortega,13521,"amancio_ortega, detailed eyes and skin, arafed man in a suit standing outside of a building, oscar niemeyer, headshot photo, danny de vito, juanjo guarnid, promotional image, oscar de la renta, 2011, nikolai karelin, interior, ginormous, ion iliescu, plain, lê long, looking serious, instagram picture, ghibli"
72,jackie_chan,38234,"jackie_chan, detailed eyes and skin, arafed man wearing a hat and a blue shirt smiling, jackie chan, kamen rider, he is about 6 0 years old, i és complex, who, close up of iwakura lain, attractive and good looking, cai guo-qiang, 7 0 years old, tatami galaxy, in 2 0 1 8, tf 1, the artist"
73,emma_watson,43407,"emma_watson , detailed eyes and skin, emma marano smiling and wearing a black dress, karol bak of emma watson nun, girl with a pearl earringl, square,  emma watson as she-hulk,  emma watson as driada, cupid, 8 к, pierced, ceramic, cannes, a wooden"
74,sergio_ramos,30805,"sergio_ramos, detailed eyes and skin, a close up of a soccer player with a beard and a white shirt, paris, celebrate goal, afp, paisley, split near the left, smg, oktane, full - body, liam, beautiful lit, 0, facebook, ox, powder, no, фото девушка курит, adam, official"
75,marendra_modi,57408,"marendra_modi, detailed eyes and skin, arafed man with a white beard and glasses holding a cell phone, narendra modi, headshot profile picture, transparent background, official photos, 2045, tn, ghailan!, 5 0 years old man, a wooden, full round face!, 1 2 9 7, inauguration, portrait picture, bow, a picture"
76,dwayne_johnson,14931,"dwayne johnson,detailed eyes and skin, a man with a large muscular body and a black tank top, screaming at the camera, the rock, white background!!!!!!!!!!, smirking, celebrities, (bolts), official photo, heavy ink, happy birthday, extremely detailed, howard, in a fighting pose, ps, rack, "
77,gerard_pique,19504,"gerard_pique, detailed eyes and skin, arafed soccer player with a surprised look on his face, christian dimitrov, in barcelona, scruffy looking, square, 3 0 0, 2019 trending photo, february), mimmo rottela, profile picture 1024px, stained”, aaron rodgers, 2263539546]"
78,virgil_van_dijk,63546,"virgil_van_dijk, detailed eyes and skin, arafed soccer player in red shirt pointing at something, 🦩🪐🐞👩🏻🦳, cgrender, hd wallpaper, with a ponytail, 1 0 0 m, high quality], sharp ), 💣 💥💣 💥, stained”, 1 1 1 1, serious business, 8 1 5, left trad, pepper, dezeen, brook"
79,paul_pogba,16507,"paul_pogba, detailed eyes and skin, arafed soccer player with a blue jacket and white collar, adut akech, 15081959 21121991 01012000 4k, portrait of mario, ox, closeup!!!!!!, 30 year old man, michael page, looking sideway, gildhardho, iu"
80,john_lennon,5351,"john_lennon, detailed eyes and skin, arafed black and white photo of a man with glasses and a tie, john lennon, photography of albert watson, closeup - view, an album cover, wearing thin large round glasses, christian saint, imagine, stained”"
81,vladimir_putin,32361,"vladimir_putin, detailed eyes and skin, arafed image of a man in a suit and tie standing in front of a flag, portrait of vladimir putin, photograph taken in 2 0 2 0, no cropping, they are very serious, no watermark, looking across the shoulder, full device, 4 0 0 mm, 1 1 1 1, tear"
82,tom_hanks,1896,"tom_hanks, detailed eyes and skin, arafed image of a man in a tuxedo and bow tie, tom hanks, photo from 2022, wearing a dress made of stars, 5 0 years old man, he‘s wearing a red neckerchief, looking straight to camera, oscar de la renta, studs, tom hardy, shutterstock, wyoming, frontal picture"
83,selena_gomez,65476,"selena_gomez, etailed eyes and skin,a close up of a woman with a necklace on her neck, selena gomez, talk show, joey king, 60mm portrait, president of belorussia, stainless steal, from 8 k matte, extremely polished, still from riverdale, selenar, jacqueline e"
84,justin_bieber,62127,"justin bieber, etailed eyes and skin, arafed male in a white shirt and a black hat holding a microphone,  boston, loosely cropped, 2016, fashion icon, michal, miley cyrus, usa-sep 20, cristiano ronaldo, angelic, fan favorite, wearing a baggy, warsaw, wearing off - white style, concert photo, hurufiyya"
85,steve_ballmer,56075,"steve_ballmer, detailed eyes and skin, smiling man in suit and tie standing in front of a flag, nikolai karelin, chris haas and bernini, round-cropped, detailed zoom photo, ny, sandra pelser, senator armstrong, rich detail, laura sava, holiday season, bad looking, smiling man, bay, former"
86,deontay_wilder,17114,"deontay_wilder, detailed eyes and skin, a close up of a man with a beard and no shirt on, james lebron, incredibly strong and tall, roge antonio, athletic build, press photos, 2 0 2 2 photo, juggernaut, shoulder tattoo, performing on stage, recognizable, fully chocolate, james stokoe, sports illustrated, grey skin, profile picture, thumbnail, 👁🌹👾"
87,zinedine_zidane,55366,"zinedine_zidane, detailed eyes and skin, arafed bald man in black jacket sitting in front of microphone, french facial features, jurgen klopp, buzz cut hair, intense line work, closeup headshot, square, edin durmisevic, zaragoza gilberto soren, mercedes, press conference, (snow), 2 0 1 7, 600mm, shutterstock, goat, by John Murdoch"
88,roger_federer,61525,"roger_federer, detailed eyes and skin, arafed male tennis player in white shirt and white shorts holding a tennis racket, image dataset, he is wearing a top hat, pictured from the shoulders up, in 2 0 1 5, center of picture, trimmed with a white stripe, england, watch photo"
89,serena_williams,23991,"serena_williams, detailed eyes and skin, there is a woman that is holding a tennis racket, serena williams, usa-sep 20, smirking, 2 0 1 9, minna sundberg, summer day, angle, britain, benjamin vnuk, stained”"
90,elizabeth_olsen,19362,"elizabeth_olsen, detailed eyes and skin, araffe woman in a black dress holding a microphone and smiling, elizabeth olsen, as a panel of a marvel comic, 2 0 2 2 photo, belt, square, gal gadot portrait, usa-sep 20, voltron, reflecting, leather top, candid portrait photo, rtx, iceland, summer glau, eeri, smol"
91,leonardo_diCaprio,27940,"leonardo_diCaprio, detailed eyes and skin, arafed man in a tuxedo and bow tie looking at the camera, leonardo dicaprio's face, red carpet photo, square masculine facial features, pixabay, wearing a worn out brown suit, side profile shot, tear drop, man in his 40s, stalking, lovingly looking at camera, in teh style of tony start, wrinkles, face close - up"
92,pelé,36602,"pelé, detailed eyes and skin, arafed man in a yellow shirt standing in front of a crowd, portrait of pele, oscar niemeyer, patron saint of 🛸🌈👩🏾, 💣 💥💣 💥, kirill leonov, wikimedia, ffffound, gorgeous lady, a green, avatar image"
93,russell_wilson,49458,"russell_wilson, detailed eyes and skin, a close up of a man with a face paint on, brazilian ronaldo, nfl, square, jan urschel, the photo shows a large, anderson, taken in the early 2020s, alexis flower, injured, 千 葉 雄 大, image, beefy, indigo, contain, highlights"
94,thomas_edison,61731,"thomas_edison, detailed eyes and skin, arafed man in a suit and tie sitting in a chair, edison bulb, official white house portrait, sitting on a log, pexels, 1901, mittens, mather brown, vsx, looking to the side, unsplash, pictured from the shoulders up, portrait photograph, sitting with wrists together, head-and-shoulders shot"
95,jack_ma,2632,"jack_ma, detailed eyes and skin, there is a man standing on stage with a white shirt and tie, super cute robot face, jia zhangke, avatar image, man with thin lines on the face, reuters, inafune design, looking to the right, pacman, china blue eyes, f / 1, gmaster, dezeen, jin shan, innocent look, klee"
96,tiger_woods,54078,"tiger_woods, detailed eyes and skin, smiling man in a suit and tie standing in front of a group of people, tiger, woods, headshot profile picture, candid shot, sport, taken in 2022, highly a detailed, untitled, feature, 300mm, waist - shot, pod, biopic, profile portrait, presidential portrait, morning lighting, well detailed, fi, fully covered"
97,kylian_mbappe,10506,"kylian_mbappe, detailed eyes and skin, there is a man that is standing in a soccer field, ronaldo nazario, side profile shot, in paris, avatar image, soccer players timo werner, 2263539546], 4 0 0 0 0 0, professional closeup photo, netflix, by Frank Mason, фото девушка курит"
98,david_luiz,48726,"david_luiz, detailed eyes and skin, there is a man with a curly hair playing soccer, shoulder-length brown hair, will terry, head and shoulders view, photo taken in 2018, emma, zoomed in, steven wiltshire, uhq, blues, slightly smiling, trending ，"
99,angelina_jolie,34956,"angelina_jolie, detailed eyes and skin, arafed woman in a black dress and coat standing in front of a flag, nose of angelina jolie, wearing pearl earrings, wearing a long beige trench coat, canada, official photos, 30-year-old woman from cuba, side boob, high quality photos, hayao miyazak, face picture, 2019 trending photo, actor"
100,rami_malek,41578,"rami_malek, detailed eyes and skin, arafed man in a suit and tie looking at the camera, pete davidson, wearing a dark blue polo shirt, blair armitage, malcom liepke, shoulder-length black hair, looking to the side off camera, white horns from eyebrows, oscar de la renta, ben - day dots, productphoto, pexels, kaya scodelario"
101,derrick_rose,20783,"derrick_rose, detailed eyes and skin, arafed man in red jersey holding a basketball in front of a crowd, holding a rose in a hand, slightly muscular, with tattoos, lê long, brandon, fuller, woods, (1 as december, serious look, bull, hi definition, gunner, wikipedia, yuan - ti, definition, hawkins, crisp image"
